Paweł,Nowak1,Informatyka dzienne,Dzienne,459,2000-02-12,1@pjwstk.edu.pl,Alina,Adam
Paweł,Nowak1,Informatyka magisterskie 4 sem,Dzienne,459,2000-02-12,1@pjwstk.edu.pl,Alina,Adam
Paweł,Nowak1,Informatyka doktoranckie,Dzienne,459,2000-02-12,1@pjwstk.edu.pl,Alina,Adam
Kaja,Jankowski29,Sztuka Nowych Mediów dzienne,Dzienne,4816,2000-02-12,29@pjwstk.edu.pl,Alina,Adam
Justyna,Kowalski30,Sztuka Nowych Mediów dzienne,Dzienne,4749,2000-02-12,30@pjwstk.edu.pl,Alina,Adam
Justyna,Kowalski30,Sztuka Nowych Mediów uzupełniające magisterskie,Dzienne,4749,2000-02-12,30@pjwstk.edu.pl,Alina,Adam
Michał,Nowak31,Sztuka Nowych Mediów dzienne,Dzienne,4432,2000-02-12,31@pjwstk.edu.pl,Alina,Adam
Michał,Nowak31,Sztuka Nowych Mediów uzupełniające magisterskie,Dzienne,4432,2000-02-12,31@pjwstk.edu.pl,Alina,Adam
Kamil,Brzęczyszczykiewicz32,Sztuka Nowych Mediów dzienne,Dzienne,4757,2000-02-12,32@pjwstk.edu.pl,Alina,Adam
Marta,Maciejewski33,Sztuka Nowych Mediów dzienne,Dzienne,4655,2000-02-12,33@pjwstk.edu.pl,Alina,Adam
